model_id,phase7_analysis_role,phase7_thermal_variable,predictors,uses_usgs_flow,selected_alpha,leave_year_out_rmse_c,leave_year_out_mae_c,leave_year_out_bias_c,leave_year_out_r_squared,rmse_improvement_over_climatology_pct
T1,sensitivity_thermal_model,t1_window_mean_proxy_c,air temperature + streamflow + seasonal terms,true,10.0,0.781047,0.610457,-0.000365,0.956119,48.851
T2,primary_thermal_model,t2_window_mean_proxy_c,air temperature + seasonal terms,false,10.0,0.788023,0.618147,-3.1e-05,0.955332,48.394
