model_id,phase7_analysis_role,year,days,modeled_annual_mean_proxy_c,modeled_annual_max_daily_proxy_c,annual_max_modeled_7day_mean_proxy_c,annual_max_modeled_7day_mean_date,grab_sample_dates,metric_warning
T1,sensitivity_thermal_model,1995,365,10.819,17.883,16.976,1995-07-23,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,1996,366,10.035,17.906,17.341,1996-07-30,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,1997,365,10.301,16.843,16.59,1997-08-17,16,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,1998,365,10.4,18.479,17.191,1998-08-01,17,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,1999,365,9.919,15.549,15.329,1999-08-10,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2000,366,9.818,16.357,15.772,2000-08-04,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2001,365,9.79,16.342,15.801,2001-08-14,13,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2002,365,9.877,16.869,16.091,2002-07-25,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2003,365,10.376,17.637,16.409,2003-08-02,13,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2004,366,10.488,18.338,17.234,2004-07-29,13,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2005,365,10.277,16.428,16.109,2005-08-01,14,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2006,365,10.459,18.912,17.854,2006-07-27,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2007,365,10.039,17.18,16.785,2007-07-16,14,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2008,366,9.857,17.561,16.728,2008-08-19,17,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2009,365,10.046,19.725,18.42,2009-08-02,16,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2010,365,10.371,17.788,16.717,2010-08-19,16,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2011,365,9.767,16.372,16.064,2011-08-27,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2012,366,10.22,17.796,16.981,2012-08-19,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2013,365,10.675,17.934,17.057,2013-07-04,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2014,365,11.139,17.574,17.133,2014-08-06,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2015,365,11.279,18.433,17.931,2015-07-06,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2016,366,11.121,18.154,16.986,2016-08-20,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2017,365,10.512,18.621,17.657,2017-08-08,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2018,365,10.956,17.929,17.548,2018-07-31,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2019,365,10.748,17.379,16.924,2019-08-07,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2020,366,10.897,17.819,17.057,2020-08-21,11,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2021,365,10.575,19.779,18.268,2021-07-01,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2022,365,10.283,18.929,18.146,2022-08-01,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2023,365,10.604,19.104,18.018,2023-08-18,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2024,366,10.583,18.417,17.569,2024-07-13,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T1,sensitivity_thermal_model,2025,365,10.673,17.777,17.026,2025-08-29,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
