model_id,year,days,modeled_annual_mean_proxy_c,modeled_annual_max_daily_proxy_c,annual_max_modeled_7day_mean_proxy_c,annual_max_modeled_7day_mean_date,grab_sample_dates,metric_warning
T2,1997,365,10.257,16.861,16.589,1997-08-17,16,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,1998,365,10.449,18.593,17.314,1998-08-01,17,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,1999,365,9.916,15.646,15.401,1999-08-28,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2000,366,9.891,16.486,15.888,2000-08-04,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2001,365,9.843,16.477,15.928,2001-08-14,13,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2002,365,9.961,17.017,16.211,2002-07-25,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2003,365,10.457,17.812,16.581,2003-07-24,13,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2004,366,10.559,18.534,17.449,2004-07-29,13,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2005,365,10.367,16.534,16.217,2005-08-01,14,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2006,365,10.473,19.002,17.952,2006-07-27,15,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2007,365,10.103,17.332,16.972,2007-07-16,14,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2008,366,9.902,17.689,16.871,2008-08-19,17,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2009,365,10.092,19.874,18.548,2009-08-02,16,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2010,365,10.356,17.814,16.753,2010-08-19,16,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2011,365,9.754,16.407,16.1,2011-08-27,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2012,366,10.193,17.847,17.021,2012-08-19,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2013,365,10.697,17.989,17.106,2013-07-04,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2014,365,11.129,17.67,17.217,2014-08-06,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2015,365,11.301,18.583,18.072,2015-07-06,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2016,366,11.126,18.282,17.057,2016-08-21,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2017,365,10.493,18.715,17.728,2017-08-08,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2018,365,10.99,18.015,17.676,2018-07-31,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2019,365,10.802,17.486,17.028,2019-08-07,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2020,366,10.9,17.9,17.138,2020-08-21,11,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2021,365,10.612,19.887,18.427,2021-07-01,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2022,365,10.302,19.004,18.204,2022-08-01,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2023,365,10.679,19.26,18.171,2023-08-18,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2024,366,10.64,18.586,17.742,2024-07-13,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
T2,2025,365,10.741,17.938,17.146,2025-08-29,12,Modeled proxy; not observed daily maximum or regulatory 7DADMax
