"event","type","date","facility","remote_facility","trapsite","plant_location","adult_count","male_count","female_count","jack_count","non_viable_female_count","egg_take_count","species","run","stock","origin","adult_mark_type_id","brood_year","cwt_method_checked_lut_id","cwt_checked_ind","cwt_reason_not_checked_lut","cwt_reason_not_checked_txt","cwt_present_ind","cwt_collected_ind","cwt_reason_not_collected","cwt_reason_uncollected_lut","tagged_males","tagged_females","tagged_jacks"
"Adult Mortality Event","","1995-09-25T00:00:00.000","ISSAQUAH HATCHERY","","","","0","3","8","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-09-26T00:00:00.000","ISSAQUAH HATCHERY","","","","0","22","36","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","2","1995",,"true",,,"true","true",,,"0","0","0"
"Adult Mortality Event","","1995-09-26T00:00:00.000","ISSAQUAH HATCHERY","","","","0","6","3","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","2","1995",,"true",,,"true","true",,,"0","0","0"
"EggTake","","1995-09-26T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","149700","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-09-26T00:00:00.000","ISSAQUAH HATCHERY","","","","0","67","0","5","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","2","1995",,"true",,,"true","true",,,"0","1","0"
"Adult Surplus Event","","1995-09-29T00:00:00.000","ISSAQUAH HATCHERY","","","","0","136","0","67","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-09-29T00:00:00.000","ISSAQUAH HATCHERY","","","","0","5","6","2","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"EggTake","","1995-09-29T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","241500","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-09-29T00:00:00.000","ISSAQUAH HATCHERY","","","","0","48","56","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-02T00:00:00.000","ISSAQUAH HATCHERY","","","","0","6","16","2","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-10-02T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","421000","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-02T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","538","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-02T00:00:00.000","ISSAQUAH HATCHERY","","","","0","4","0","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-02T00:00:00.000","ISSAQUAH HATCHERY","","","","0","89","0","58","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-10-02T00:00:00.000","ISSAQUAH HATCHERY","","","","0","68","92","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-10-05T00:00:00.000","ISSAQUAH HATCHERY","","","","0","66","108","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-05T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","60","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-05T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","301","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-05T00:00:00.000","ISSAQUAH HATCHERY","","","","0","2","1","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-05T00:00:00.000","ISSAQUAH HATCHERY","","","","0","11","21","1","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-05T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","5","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-10-05T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","501000","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","1","3","2","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","59","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","852000","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","40","41","2","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","131","185","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-12T00:00:00.000","ISSAQUAH HATCHERY","","","","0","37","18","3","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-10-12T00:00:00.000","ISSAQUAH HATCHERY","","","","0","78","122","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Plant Event","","1995-10-12T00:00:00.000","ISSAQUAH HATCHERY","","","","0","500","500","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-12T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","447","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-10-12T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","534800","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-12T00:00:00.000","ISSAQUAH HATCHERY","","","","0","4","5","4","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-16T00:00:00.000","ISSAQUAH HATCHERY","","","","0","1","0","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-10-16T00:00:00.000","ISSAQUAH HATCHERY","","","","0","27","35","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-16T00:00:00.000","ISSAQUAH HATCHERY","","","","0","92","406","555","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-16T00:00:00.000","ISSAQUAH HATCHERY","","","","0","11","1","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-16T00:00:00.000","ISSAQUAH HATCHERY","","","","0","4","11","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Plant Event","","1995-10-16T00:00:00.000","ISSAQUAH HATCHERY","","","","0","500","500","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-10-16T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","146800","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-16T00:00:00.000","ISSAQUAH HATCHERY","","","","0","41","30","2","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-19T00:00:00.000","ISSAQUAH HATCHERY","","","","0","36","13","1","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-19T00:00:00.000","ISSAQUAH HATCHERY","","","","0","1","1","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-10-19T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","112000","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-19T00:00:00.000","ISSAQUAH HATCHERY","","","","0","519","670","384","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-19T00:00:00.000","ISSAQUAH HATCHERY","","","","0","1","1","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-19T00:00:00.000","ISSAQUAH HATCHERY","","","","0","3","9","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-10-19T00:00:00.000","ISSAQUAH HATCHERY","","","","0","7","26","1","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Plant Event","","1995-10-19T00:00:00.000","ISSAQUAH HATCHERY","","","","0","250","250","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-23T00:00:00.000","ISSAQUAH HATCHERY","","","","0","3","13","3","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-10-23T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","78500","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-10-23T00:00:00.000","ISSAQUAH HATCHERY","","","","0","25","26","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-23T00:00:00.000","ISSAQUAH HATCHERY","","","","0","787","1147","439","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-10-23T00:00:00.000","ISSAQUAH HATCHERY","","","","0","11","17","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-10-23T00:00:00.000","ISSAQUAH HATCHERY","","","","0","1","0","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-11-06T00:00:00.000","ISSAQUAH HATCHERY","","","","0","68","152","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-11-06T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","489000","Coho","NA","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-11-06T00:00:00.000","ISSAQUAH HATCHERY","","","","0","68","33","0","15","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-11-06T00:00:00.000","ISSAQUAH HATCHERY","","","","0","2","32","7","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-11-06T00:00:00.000","ISSAQUAH HATCHERY","","","","0","3","1","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-11-06T00:00:00.000","ISSAQUAH HATCHERY","","","","0","11","56","7","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-11-06T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","645","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-11-08T00:00:00.000","ISSAQUAH HATCHERY","","","","0","1864","2161","1292","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-11-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","292","278","0","27","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-11-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","174","134","333","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Plant Event","","1995-11-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","4350","4350","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-11-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","675000","Coho","NA","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-11-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","85","213","13","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-11-13T00:00:00.000","ISSAQUAH HATCHERY","","","","0","475","569","0","39","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-11-13T00:00:00.000","ISSAQUAH HATCHERY","","","","0","871","515","508","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-11-13T00:00:00.000","ISSAQUAH HATCHERY","","","","0","1","1","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-11-13T00:00:00.000","ISSAQUAH HATCHERY","","","","0","20","29","5","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-11-13T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","1","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-11-13T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","1683000","Coho","NA","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-11-14T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","535000","Coho","NA","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-11-14T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","200","Coho","NA","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-11-14T00:00:00.000","ISSAQUAH HATCHERY","","","","0","3","4","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-11-14T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","200","Coho","NA","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-11-14T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","200","Coho","NA","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-11-14T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","137","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-11-14T00:00:00.000","ISSAQUAH HATCHERY","","","","0","1","17","1","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-11-14T00:00:00.000","ISSAQUAH HATCHERY","","","","0","145","185","0","8","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-11-20T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","500","Coho","NA","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-11-20T00:00:00.000","ISSAQUAH HATCHERY","","","","0","12","25","11","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"EggTake","","1995-11-20T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","500","Coho","NA","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-11-20T00:00:00.000","ISSAQUAH HATCHERY","","","","0","1148","1484","674","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"EggTake","","1995-11-20T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","163000","Coho","NA","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-11-20T00:00:00.000","ISSAQUAH HATCHERY","","","","0","87","125","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"EggTake","","1995-11-20T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","214000","Coho","NA","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-11-21T00:00:00.000","ISSAQUAH HATCHERY","","","","0","7","6","2","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-11-21T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","1","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-11-21T00:00:00.000","ISSAQUAH HATCHERY","","","","0","1521","2184","1152","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1995-11-22T00:00:00.000","ISSAQUAH HATCHERY","","","","0","13","13","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"false",,,"false","false",,,"0","0","0"
"EggTake","","1995-11-22T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","3000","Coho","NA","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1995-11-27T00:00:00.000","ISSAQUAH HATCHERY","","","","0","652","705","309","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1995-11-27T00:00:00.000","ISSAQUAH HATCHERY","","","","0","5","6","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1995",,"true",,,"false","false",,,"0","0","0"
"EggTake","","1995-11-29T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","4500","Chinook","Fall","Issaquah Creek","HATCHERY",,"1995",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1996-09-24T00:00:00.000","ISSAQUAH HATCHERY","","","","0","4","0","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Plant Event","","1996-09-30T00:00:00.000","ISSAQUAH HATCHERY","","","","0","75","75","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1996-09-30T00:00:00.000","ISSAQUAH HATCHERY","","","","0","30","25","1","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"EggTake","","1996-09-30T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","85600","Chinook","Fall","Issaquah Creek","HATCHERY",,"1996",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1996-09-30T00:00:00.000","ISSAQUAH HATCHERY","","","","0","6","7","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1996-10-07T00:00:00.000","ISSAQUAH HATCHERY","","","","0","112","0","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1996-10-07T00:00:00.000","ISSAQUAH HATCHERY","","","","0","7","0","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1996-10-07T00:00:00.000","ISSAQUAH HATCHERY","","","","0","66","64","1","2","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Plant Event","","1996-10-07T00:00:00.000","ISSAQUAH HATCHERY","","","","0","686","1170","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1996-10-07T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","1","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1996-10-07T00:00:00.000","ISSAQUAH HATCHERY","","","","0","1","0","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1996-10-07T00:00:00.000","ISSAQUAH HATCHERY","","","","0","11","14","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1996-10-07T00:00:00.000","ISSAQUAH HATCHERY","","","","0","1","0","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"EggTake","","1996-10-07T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","242900","Chinook","Fall","Issaquah Creek","HATCHERY",,"1996",,"false",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1996-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","12","11","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1996-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","7","0","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1996-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","2","5","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Plant Event","","1996-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","593","593","185","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1996-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","11","1","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"EggTake","","1996-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","336000","Chinook","Fall","Issaquah Creek","HATCHERY",,"1996",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1996-10-09T00:00:00.000","ISSAQUAH HATCHERY","","","","0","96","94","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1996-10-14T00:00:00.000","ISSAQUAH HATCHERY","","","","0","102","94","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1996-10-14T00:00:00.000","ISSAQUAH HATCHERY","","","","0","10","2","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"EggTake","","1996-10-14T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","366500","Chinook","Fall","Issaquah Creek","HATCHERY",,"1996",,"false",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1996-10-14T00:00:00.000","ISSAQUAH HATCHERY","","","","0","40","37","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Plant Event","","1996-10-16T00:00:00.000","ISSAQUAH HATCHERY","","","","0","1464","1522","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1996-10-17T00:00:00.000","ISSAQUAH HATCHERY","","","","0","11","16","0","0","0","Coho","NA","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Mortality Event","","1996-10-17T00:00:00.000","ISSAQUAH HATCHERY","","","","0","9","1","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"EggTake","","1996-10-17T00:00:00.000","ISSAQUAH HATCHERY","","","","0","0","0","0","0","156800","Chinook","Fall","Issaquah Creek","HATCHERY",,"1996",,"false",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1996-10-17T00:00:00.000","ISSAQUAH HATCHERY","","","","0","40","40","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Adult Surplus Event","","1996-10-17T00:00:00.000","ISSAQUAH HATCHERY","","","","0","213","0","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
"Parent Spawn Event","Lethal","1996-10-21T00:00:00.000","ISSAQUAH HATCHERY","","","","0","14","13","0","0","0","Chinook","Fall","Issaquah Creek","HATCHERY","28","1996",,"true",,,"false","false",,,"0","0","0"
