"sampleid","grabid","profileid","sample_number","collect_datetime","depth","site_type","area","locator","site","parameter","value","units","qualityid","lab_qualifier","mdl","rdl","textvalue","sampleinfo","stewardnote","replicates","replicateof","method","dateanalyzed","datasource"
"14579","14579","33689","8903059","1989-01-04T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","7.3","deg C","2",,,,"7.3||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"14612","14612","11262","8903179","1989-01-11T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","5","deg C","2",,,,"5.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"14610","14610","40424","8903176","1989-01-11T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","5","deg C","2",,,,"5.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"14649","14649","33596","8903648","1989-02-16T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","3.9","deg C","2",,,,"3.9||King County Nstream Database/B53311",,,,,,,"KCEL"
"14651","14651","23846","8903651","1989-02-16T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","4","deg C","2",,,,"4.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"14667","14667","38064","8904259","1989-03-09T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","5.6","deg C","2",,,,"5.6||King County Nstream Database/B53311",,,,,,,"KCEL"
"14700","14700","9196","8904317","1989-03-15T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","5","deg C","2",,,,"5.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"14698","14698","39857","8904314","1989-03-15T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","5","deg C","2",,,,"5.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"14739","14739","3352","8905042","1989-04-12T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","9.5","deg C","2",,,,"9.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"14737","14737","36790","8905039","1989-04-12T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","7.8","deg C","2",,,,"7.8||King County Nstream Database/B53311",,,,,,,"KCEL"
"14778","14778","11117","8905925","1989-05-17T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","11","deg C","2",,,,"11.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"14776","14776","39240","8905922","1989-05-17T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","11.5","deg C","2",,,,"11.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"14815","14815","36479","8906283","1989-06-14T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","13.9","deg C","2",,,,"13.9||King County Nstream Database/B53311",,,,,,,"KCEL"
"14817","14817","4950","8906286","1989-06-14T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","13.3","deg C","2",,,,"13.3||King County Nstream Database/B53311",,,,,,,"KCEL"
"14856","14856","12228","8906987","1989-07-19T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","15.5","deg C","2",,,,"15.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"14854","14854","39881","8906984","1989-07-19T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","15.5","deg C","2",,,,"15.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"14893","14893","37756","8907514","1989-08-02T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","13.5","deg C","2",,,,"13.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"14895","14895","7817","8907517","1989-08-02T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","13","deg C","2",,,,"13.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"15107",,"32549","8927043","1989-08-09T00:00:00.000",,"Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","14.5","deg C","2",,,,"14.5||King County Benthos Database/B53311",,,,,"none",,"KCEL"
"15123",,"21830","8992702","1989-08-09T00:00:00.000",,"Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","13.5","deg C","2",,,,"13.5||King County Benthos Database/B53311",,,,,"none",,"KCEL"
"15100",,"21830","8927024","1989-08-09T00:00:00.000",,"Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","13.5","deg C","2",,,,"13.5||King County Benthos Database/B53311",,,,,"none",,"KCEL"
"14932","14932","40581","8908706","1989-09-20T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","10.7","deg C","2",,,,"10.7||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"14934","14934","10563","8908709","1989-09-20T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","10","deg C","2",,,,"10.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"14973","14973","6379","8908911","1989-10-04T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","9","deg C","2",,,,"9.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"14971","14971","38517","8908908","1989-10-04T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","9","deg C","2",,,,"9.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"15003","15003","35935","8910183","1989-10-26T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","10.6","deg C","2",,,,"10.6||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"15030","15030","35154","8910492","1989-11-15T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","7.1","deg C","2",,,,"7.1||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"15032","15032","24308","8910495","1989-11-15T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","7.9","deg C","2",,,,"7.9||King County Nstream Database/B53311",,,,,,,"KCEL"
"14989","14989","30778","8910164","1989-12-04T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","11.1","deg C","2",,,,"11.1||King County Nstream Database/B53311",,,,,,,"KCEL"
"15069","15069","32500","8911543","1989-12-13T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","5.2","deg C","2",,,,"5.2||King County Nstream Database/B53311",,,,,,,"KCEL"
"15071","15071","22193","8911546","1989-12-13T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","5.3","deg C","2",,,,"5.3||King County Nstream Database/B53311",,,,,,,"KCEL"
"15172","15172","40065","9003301","1990-01-04T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","6.5","deg C","2",,,,"6.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"15178","15178","37655","9003720","1990-01-09T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","9.5","deg C","2",,,,"9.5||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"15188","15188","30143","9003942","1990-01-30T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","5.5","deg C","2",,,,"5.5||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"15152","15152","4808","9002539","1990-02-21T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","5","deg C","2",,,,"5.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"15150","15150","36426","9002536","1990-02-21T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","5","deg C","2",,,,"5.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"15221","15221","14230","9004990","1990-03-14T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","3","deg C","2",,,,"3.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"15219","15219","30329","9004987","1990-03-14T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","3.1","deg C","2",,,,"3.1||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"15258","15258","39127","9005545","1990-04-11T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","10.5","deg C","2",,,,"10.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"15260","15260","7113","9005548","1990-04-11T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","10.6","deg C","2",,,,"10.6||King County Nstream Database/B53311",,,,,,,"KCEL"
"15299","15299","3935","9006341","1990-05-15T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","10","deg C","2",,,,"10.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"15297","15297","37672","9006338","1990-05-15T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","9.5","deg C","2",,,,"9.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"15336","15336","38144","9007025","1990-06-13T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","10.1","deg C","2",,,,"10.1||King County Nstream Database/B53311",,,,,,,"KCEL"
"15338","15338","8604","9007028","1990-06-13T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","10.1","deg C","2",,,,"10.1||King County Nstream Database/B53311",,,,,,,"KCEL"
"15377","15377","14270","9007418","1990-07-18T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","14.5","deg C","2",,,,"14.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"15375","15375","30450","9007415","1990-07-18T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","15.5","deg C","2",,,,"15.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"15414","15414","40540","9008522","1990-08-15T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","17.2","deg C","2",,,,"17.2||King County Nstream Database/B53311",,,,,,,"KCEL"
"15416","15416","7217","9008525","1990-08-15T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","14.9","deg C","2",,,,"14.9||King County Nstream Database/B53311",,,,,,,"KCEL"
"15455","15455","3569","9009086","1990-09-12T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","13.8","deg C","2",,,,"13.8||King County Nstream Database/B53311",,,,,,,"KCEL"
"15453","15453","37533","9009083","1990-09-12T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","13.8","deg C","2",,,,"13.8||King County Nstream Database/B53311",,,,,,,"KCEL"
"15589",,"29534","9030037","1990-09-13T00:00:00.000",,"Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","12.6","deg C","2",,,,"12.6||King County Benthos Database/B53311",,,,,"none",,"KCEL"
"15564",,"15331","9030008","1990-09-13T00:00:00.000",,"Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","12.5","deg C","2",,,,"12.5||King County Benthos Database/B53311",,,,,"none",,"KCEL"
"15510","15510","36191","9011228","1990-10-16T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","9.2","deg C","2",,,,"9.2||King County Nstream Database/B53311",,,,,,,"KCEL"
"15494","15494","24705","9009702","1990-10-30T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","9.8","deg C","2",,,,"9.8||King County Nstream Database/B53311",,,,,,,"KCEL"
"15492","15492","33861","9009699","1990-10-30T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","9.8","deg C","2",,,,"9.8||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"15524","15524","38919","9011247","1990-10-31T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","9.5","deg C","2",,,,"9.5||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"15530","15530","33135","9011583","1990-11-13T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","10.3","deg C","2",,,,"10.3||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"15593","15593","32543","9104004","1991-01-15T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","7","deg C","2",,,,"7.0||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"15626","15626","28144","9104092","1991-01-30T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","3","deg C","2",,,,"3.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"15624","15624","35229","9104089","1991-01-30T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","3.5","deg C","2",,,,"3.5||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"15642","15642","36232","9105298","1991-02-19T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","8.6","deg C","2",,,,"8.6||King County Nstream Database/B53311",,,,,,,"KCEL"
"15675","15675","20049","9106120","1991-02-27T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","6","deg C","2",,,,"6.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"15673","15673","33046","9106118","1991-02-27T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","6","deg C","2",,,,"6.0||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"15712","15712","40070","9106499","1991-03-12T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","6","deg C","2",,,,"6.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"15714","15714","10618","9106501","1991-03-12T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","6","deg C","2",,,,"6.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"15751","15751","37053","9107449","1991-04-09T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","7.5","deg C","2",,,,"7.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"15753","15753","3971","9107451","1991-04-09T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","7.5","deg C","2",,,,"7.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"15790","15790","37796","9108495","1991-05-08T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","10.5","deg C","2",,,,"10.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"15792","15792","7863","9108497","1991-05-08T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","10","deg C","2",,,,"10.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"15838","15838","14883","9109586","1991-06-18T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","11.5","deg C","2",,,,"11.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"15836","15836","30944","9109584","1991-06-18T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","11.8","deg C","2",,,,"11.8||King County Nstream Database/B53311",,,,,,,"KCEL"
"15881","15881","21938","9110936","1991-07-17T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","13.5","deg C","2",,,,"13.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"15879","15879","32487","9110934","1991-07-17T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","14","deg C","2",,,,"14.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"15924","15924","16474","9111354","1991-08-20T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","16","deg C","2",,,,"16.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"15922","15922","31650","9111352","1991-08-20T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","16","deg C","2",,,,"16.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"15942","15942","35557","9111769","1991-08-27T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","14","deg C","2",,,,"14.0||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"16160",,"20469","9130037","1991-09-18T00:00:00.000",,"Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","14","deg C","2",,,,"14.0||King County Benthos Database/B53311",,,,,"none",,"KCEL"
"16156",,"33180","9130032","1991-09-18T00:00:00.000",,"Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","17","deg C","2",,,,"17.0||King County Benthos Database/B53311",,,,,"none",,"KCEL"
"15976","15976","32221","9112231","1991-09-24T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","13.1","deg C","2",,,,"13.1||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"15978","15978","21098","9112233","1991-09-24T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","13.6","deg C","2",,,,"13.6||King County Nstream Database/B53311",,,,,,,"KCEL"
"16016","16016","36909","9112986","1991-10-15T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","11","deg C","2",,,,"11.0||King County Nstream Database/B53311",,,,,,,"KCEL"
"16018","16018","5145","9112988","1991-10-15T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","10.8","deg C","2",,,,"10.8||King County Nstream Database/B53311",,,,,,,"KCEL"
"16034","16034","30086","9113232","1991-11-05T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","10.5","deg C","2",,,,"10.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"16067","16067","6954","9113915","1991-11-13T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","10.5","deg C","2",,,,"10.5||King County Nstream Database/B53311",,,,,,,"KCEL"
"16065","16065","39043","9113913","1991-11-13T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","10.7","deg C","2",,,,"10.7||King County Nstream Database/B53311",,,,,"PE",,"KCEL"
"16083","16083","40368","9114016","1991-11-19T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","10.1","deg C","2",,,,"10.1||King County Nstream Database/B53311",,,,,,,"KCEL"
"16126","16126","4228","9115089","1991-12-17T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","4","deg C","2",,,,"4.0||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16124","16124","37396","9115087","1991-12-17T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","4","deg C","2",,,,"4.0||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16093","16093","29541","9114822","1991-12-18T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","5.6","deg C","2",,,,"5.6||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16190","16190","23741","9205682","1992-01-14T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","6","deg C","2",,,,"6.0||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16188","16188","34707","9205680","1992-01-14T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","6.5","deg C","2",,,,"6.5||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16229","16229","18266","9207161","1992-02-25T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","8.8","deg C","2",,,,"8.8||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16227","16227","30643","9207159","1992-02-25T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","8.8","deg C","2",,,,"8.8||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16293","16293","12732","9207815","1992-03-10T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","6.9","deg C","2",,,,"6.9||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16291","16291","30225","9207813","1992-03-10T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","6.9","deg C","2",,,,"6.9||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16331","16331","32215","9209039","1992-04-14T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","12","deg C","2",,,,"12.0||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16333","16333","21600","9209041","1992-04-14T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","12.2","deg C","2",,,,"12.2||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16266","16266","34986","9207310","1992-04-29T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","12.5","deg C","2",,,,"12.5||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16398","16398","23024","9209648","1992-05-13T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","13","deg C","2",,,,"13.0||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16396","16396","34468","9209646","1992-05-13T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","12.5","deg C","2",,,,"12.5||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16442","16442","7552","9210492","1992-06-09T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","15.5","deg C","2",,,,"15.5||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16440","16440","37847","9210490","1992-06-09T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","15","deg C","2",,,,"15.0||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16370","16370","38793","9209546","1992-06-29T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","14.9","deg C","2",,,,"14.9||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16510","16510","35549","9211536","1992-07-21T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","15.6","deg C","2",,,,"15.6||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16512","16512","28706","9211538","1992-07-21T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","15","deg C","2",,,,"15.0||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16554","16554","37366","9212249","1992-08-19T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","13.4","deg C","2",,,,"13.4||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16556","16556","3719","9212251","1992-08-19T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","12.2","deg C","2",,,,"12.2||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16670",,"36410","9230021","1992-08-25T00:00:00.000",,"Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","13.5","deg C","2",,,,"13.5||King County Benthos Database/B53311",,,,,"none",,"KCEL"
"16676",,"4266","9230027","1992-08-25T00:00:00.000",,"Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","13.5","deg C","2",,,,"13.5||King County Benthos Database/B53311",,,,,"none",,"KCEL"
"16600","16600","23307","9213126","1992-09-16T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","11","deg C","2",,,,"11.0||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16598","16598","34426","9213124","1992-09-16T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","11.5","deg C","2",,,,"11.5||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16484","16484","39708","9211449","1992-10-19T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","12.2","deg C","2",,,,"12.2||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16645","16645","21534","9213898","1992-10-20T00:00:00.000","1","Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","12.6","deg C","2",,,,"12.6||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"16643","16643","33107","9213896","1992-10-20T00:00:00.000","1","Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","12.6","deg C","2",,,,"12.6||King County Nstream Database/B53311",,,,,"none",,"KCEL"
"20400",,"30178","L5-6","1992-11-17T00:00:00.000",,"Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","9.8","deg C","2",,,,,,,,,,,"KCEL"
"20402",,"15186","L5-8","1992-11-17T00:00:00.000",,"Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","10","deg C","2",,,,,,,,,,,"KCEL"
"18299",,"40033","L144-6","1992-12-15T00:00:00.000",,"Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","4.4","deg C","2",,,,,,,,,,,"KCEL"
"18301",,"8840","L144-8","1992-12-15T00:00:00.000",,"Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","4.5","deg C","2",,,,,,,,,,,"KCEL"
"19736",,"37089","L313-6","1993-01-12T11:45:00.000",,"Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","3","deg C","2",,,,,,,,,,,"KCEL"
"19738",,"5735","L313-8","1993-01-12T12:28:00.000",,"Streams and Rivers","Issaquah","A631","Issaquah Creek upstream of hatchery","Temperature","2","deg C","2",,,,,,,,,,,"KCEL"
"18090",,"34522","L14-12","1993-01-20T13:50:00.000",,"Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","4","deg C","2",,,,,,,,,,,"KCEL"
"20177",,"39408","L466-6","1993-02-16T10:37:00.000",,"Streams and Rivers","Issaquah","0631","Issaquah Creek at SE 56th St","Temperature","1","deg C","2",,,,,,,,,,,"KCEL"
