model_id,analysis_id,family,sensitivity_id,species,outcome,outcome_scale,n,term,coefficient,hc3_standard_error,hc3_ci_low,hc3_ci_high,hc3_p_value,predictor_transformed_mean,predictor_transformed_sample_sd,fitted_percent_count_difference_per_1sd
A3_no_t2_extrapolation_rows,A3,extrapolation_sensitivity,no_t2_extrapolation_rows,Coho,total_adults,log1p,23,z_t2_window_mean_c,-0.0799285095,0.2386859602,-0.5763031368,0.4164461178,0.7410457534,11.72243478,0.5315307077,-7.681765721
A5_no_t2_extrapolation_rows,A5,extrapolation_sensitivity,no_t2_extrapolation_rows,Coho,total_adults,log1p,15,const,8.651371226,0.3267537167,7.945462739,9.357279714,1.075483383e-12,,,
A5_no_t2_extrapolation_rows,A5,extrapolation_sensitivity,no_t2_extrapolation_rows,Coho,total_adults,log1p,15,z_t2_window_mean_c,0.07201152583,0.305399162,-0.5877632515,0.7317863032,0.8172659931,14.3264,0.4910510302,7.466773043
A1_highest_cook_removed,A1,influence_sensitivity,highest_cook_removed,Chinook,total_adults,log1p,28,const,8.352756281,0.09739107485,8.152566059,8.552946502,1.993633855e-33,,,
A1_highest_cook_removed,A1,influence_sensitivity,highest_cook_removed,Chinook,total_adults,log1p,28,z_t2_window_mean_c,-0.2818710719,0.1074374331,-0.5027118785,-0.06103026534,0.01436679681,14.50489286,0.5457081936,-24.56290621
A3_highest_cook_removed,A3,influence_sensitivity,highest_cook_removed,Coho,total_adults,log1p,28,const,8.639535823,0.1805260986,8.268459112,9.010612533,6.994652428e-27,,,
A3_highest_cook_removed,A3,influence_sensitivity,highest_cook_removed,Coho,total_adults,log1p,28,z_t2_window_mean_c,-0.1446913193,0.1798457043,-0.5143694588,0.2249868202,0.4283864603,11.63664286,0.4612687988,-13.471065
A5_highest_cook_removed,A5,influence_sensitivity,highest_cook_removed,Coho,total_adults,log1p,28,const,8.77243742,0.1485553153,8.467077597,9.077797244,3.107820193e-29,,,
A5_highest_cook_removed,A5,influence_sensitivity,highest_cook_removed,Coho,total_adults,log1p,28,z_t2_window_mean_c,-0.2198945813,0.188384355,-0.6071241688,0.1673350062,0.2536971604,14.65271429,0.5349836174,-19.73965971
A8_chinook_temperature_plus_flow,A8,secondary_combined_model,a1_rows,Chinook,total_adults,log1p,29,const,8.329959748,0.105397146,8.113312811,8.546606684,1.656351952e-32,,,
A8_chinook_temperature_plus_flow,A8,secondary_combined_model,a1_rows,Chinook,total_adults,log1p,29,z_t2_window_mean_c,-0.2395563169,0.1159973966,-0.4779923804,-0.001120253287,0.04900930538,14.482,0.5498729074,-21.3023048
A8_chinook_temperature_plus_flow,A8,secondary_combined_model,a1_rows,Chinook,total_adults,log1p,29,z_log_matched_flow_cfs,-0.03491308525,0.1325562887,-0.307386439,0.2375602685,0.7943314763,3.293653454,0.2795064926,-3.431065474
A8_coho_temperature_plus_flow,A8,secondary_combined_model,a3_rows,Coho,total_adults,log1p,29,const,8.673004335,0.1830176994,8.296806067,9.049202604,9.008947335e-27,,,
A8_coho_temperature_plus_flow,A8,secondary_combined_model,a3_rows,Coho,total_adults,log1p,29,z_t2_window_mean_c,-0.03406749711,0.1860288228,-0.4164552187,0.3483202245,0.8561164462,11.68948276,0.5349201957,-3.349373395
A8_coho_temperature_plus_flow,A8,secondary_combined_model,a3_rows,Coho,total_adults,log1p,29,z_log_matched_flow_cfs,0.1670368773,0.1818070588,-0.2066728843,0.5407466389,0.3666669966,3.874287523,0.3982228711,18.17978461
