family,analysis_id,sensitivity_id,analysis_label,species,predictor,outcome,n,expected_direction,observed_direction,direction_matches_expected,spearman_rho,bootstrap_ci_low,bootstrap_ci_high,bootstrap_repetitions,bootstrap_finite_estimates,bootstrap_seed,permutation_p_raw,permutation_extreme_count,permutation_repetitions,permutation_seed,p_adjustment_family,permutation_p_holm,passes_family_alpha_0_05,ols_model_id,ols_main_term,ols_beta,ols_hc3_ci_low,ols_hc3_ci_high,ols_hc3_p_value,ols_fitted_percent_count_difference_per_1sd,maximum_cooks_year,maximum_cooks_distance,t2_extrapolation_flagged_rows,t2_extrapolation_days_total
mechanism,A6,frozen_primary,April 1 SWE -> Jul-Sep mean flow,not_applicable,April 1 SWE (inches),Jul-Sep mean flow (cfs),29,positive,positive,True,0.1367331897,-0.2890782861,0.5013604131,10000,10000,20260929,0.4767252327,47672,100000,20260829,mechanism_A6_A7_holm,0.4767252327,False,A6_frozen_primary,z_swe_apr01_inches,0.1040461563,-0.06161068636,0.2697029989,0.2084292836,,1997,1.068320335,0,0
mechanism,A7,frozen_primary,Matched Jun-Sep flow -> T2 Jun-Sep temperature,not_applicable,matched Jun-Sep mean flow (cfs),T2 Jun-Sep mean proxy (C),31,negative,negative,True,-0.4169354839,-0.6766507653,-0.07790155445,10000,10000,20260930,0.0197098029,1970,100000,20260830,mechanism_A6_A7_holm,0.0394196058,True,A7_frozen_primary,z_log_matched_flow_cfs,-0.2431483748,-0.382649932,-0.1036468176,0.001285151607,,2022,0.1262585425,16,49
