species,model_id,lag_years,is_primary_lag,n_test_years,mae,rmse,r2
Chinook,freshwater_marine_ols,3,False,17,1599.7256029097503,2315.7574820278696,-1.1221225793710699
Chinook,freshwater_marine_ols,4,True,17,2037.9375232555626,2401.941420427577,-1.2830169578203279
Chinook,freshwater_marine_ols,5,False,17,2282.094804285406,3268.257734091358,-3.2268507156634954
