species,model_id,n_validation_years,observed_mae,mae_ci_low,mae_ci_high,observed_rmse,rmse_ci_low,rmse_ci_high,bootstrap_seed,bootstrap_repetitions
Coho,all_environment_ocean_ridge,17,3148.9303657607843,1995.2815226127555,4424.204204729067,4057.728527574504,2631.783528429746,5261.097816870773,20260727,5000
Coho,all_environment_ridge,17,3619.557679964443,2544.5828257986755,4730.215245928136,4284.506981740638,3085.6455053663644,5331.995770790982,20260727,5000
Coho,freshwater_marine_ols,17,3856.803588502828,2572.6836006707576,5256.528150125165,4805.303503100985,3164.1588453669333,6333.9398478967,20260727,5000
Coho,migration_marine_ols,17,3712.9911096712963,2328.4543841101663,5315.5705122482605,4878.486982897575,3122.453761796122,6577.605335984417,20260727,5000
Coho,ocean_index_ols,17,3355.4905313442664,2235.361455131981,4647.120823719987,4202.67001549783,2724.8873578048883,5585.549268330187,20260727,5000
