species,lag_years,predictor,n,spearman_rho,p_value,p_fdr_bh
Coho,2,cohort_flow_water_year_mean_cfs,29,0.009359605911330046,0.9615673193952551,0.9615673193952551
Coho,2,cohort_swe_apr01_inches,29,0.08450357487297566,0.662960377843919,0.8666384661474694
Coho,2,cohort_temp_jun_sep_mean_c,29,0.08818820118622697,0.6491767299262071,0.8666384661474694
Chinook,3,cohort_flow_water_year_mean_cfs,29,-0.42019704433497523,0.023237317644193674,0.2788478117303241
Chinook,3,cohort_swe_apr01_inches,29,0.20618302903036864,0.28323886505579904,0.624711482550737
Chinook,3,cohort_temp_jun_sep_mean_c,29,-0.06897401210095964,0.7221987217895578,0.8666384661474694
Chinook,4,cohort_flow_water_year_mean_cfs,29,0.015270935960591127,0.9373320606476712,0.9615673193952551
Chinook,4,cohort_swe_apr01_inches,29,0.2340189696282559,0.22176406649231,0.624711482550737
Chinook,4,cohort_temp_jun_sep_mean_c,29,-0.07414706300853162,0.7022705973345814,0.8666384661474694
Chinook,5,cohort_flow_water_year_mean_cfs,29,0.21970443349753688,0.25214233860302177,0.624711482550737
Chinook,5,cohort_swe_apr01_inches,29,0.1943589126702041,0.3123557412753685,0.624711482550737
Chinook,5,cohort_temp_jun_sep_mean_c,29,-0.27047666173876317,0.15586931710327498,0.624711482550737
