"return_year","species","hatchery_adults","wild_adults","total_adults","hatchery_jacks","wild_jacks","total_jacks","adult_plus_jacks","trap_event_rows","first_trap_event","last_trap_event","response_definition"
"2014","Coho","14799","115","14914","62","15","77","14991","9","2014-09-30","2014-11-05","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2015","Chinook","3130","243","3373","56","6","62","3435","14","2015-09-02","2015-11-19","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2015","Coho","1883","110","1993","16","16","32","2025","10","2015-09-30","2015-11-30","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2016","Chinook","2442","154","2596","15","2","17","2613","19","2016-09-03","2016-10-31","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2016","Coho","3905","19","3924","124","0","124","4048","9","2016-10-10","2016-11-14","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2017","Chinook","3185","136","3321","99","0","99","3420","12","2017-09-11","2017-11-06","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2017","Coho","3465","95","3560","89","2","91","3651","7","2017-10-04","2017-11-06","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2018","Chinook","1739","47","1786","69","2","71","1857","10","2018-09-19","2018-11-05","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2018","Coho","4005","33","4038","196","2","198","4236","11","2018-10-02","2018-11-13","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2019","Chinook","2046","30","2076","106","1","107","2183","13","2019-09-15","2019-11-11","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2019","Coho","6254","104","6358","145","3","148","6506","13","2019-09-30","2019-11-18","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2020","Chinook","2269","34","2303","48","1","49","2352","12","2020-09-13","2020-10-12","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2020","Coho","4085","74","4159","329","10","339","4498","10","2020-09-26","2020-11-15","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2021","Chinook","3953","84","4037","274","4","278","4315","20","2021-09-12","2021-11-15","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2021","Coho","8799","490","9289","224","1","225","9514","11","2021-09-20","2021-11-15","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2022","Chinook","4667","148","4815","402","0","402","5217","17","2022-09-14","2022-11-14","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2022","Coho","6839","17","6856","1162","0","1162","8018","11","2022-10-10","2022-11-17","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2023","Chinook","5737","103","5840","82","0","82","5922","13","2023-09-11","2023-11-06","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2023","Coho","9257","277","9534","276","6","282","9816","10","2023-09-25","2023-11-13","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2024","Chinook","7841","191","8032","222","3","225","8257","15","2024-09-04","2024-10-14","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2024","Coho","5276","148","5424","227","35","262","5686","11","2024-09-19","2024-11-11","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2025","Chinook","4562","154","4716","246","1","247","4963","15","2025-09-12","2025-11-03","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
"2025","Coho","3647","212","3859","174","8","182","4041","13","2025-09-29","2025-11-17","sum Trap Estimate adult_count across HATCHERY and WILD origins; jacks retained separately"
